epoch,ppl
1,653.0975547983893
1,303.78903713778175
2,242.37952658677318
2,200.95357796203072
3,190.08583689888786
3,171.65481043867285
4,168.370943648572
4,156.15889138860277
5,155.75927263680225
5,146.95005802728778
6,149.334638679772
6,141.04713412217401
7,143.92513591097222
7,136.58131893044558
8,139.36919133751377
8,132.75423608966435
9,135.7807205931972
9,129.92436787489464
10,133.12372682016024
10,127.38828631149383
11,131.97184834436194
11,125.4639391917513
12,129.53905207781054
12,123.50069766866207
13,128.20822936771214
13,122.48621700467687
14,126.32575114908067
14,121.01393618352229
15,124.84794509720288
15,119.26354481955205
16,123.53809476950951
16,118.68643596255279
17,122.33873206421151
17,117.44330041918613
18,121.29071873751815
18,116.77999794606669
19,121.3197425399355
19,116.65590910677827
20,116.1204948634093
20,106.85486377647888
21,111.81294968533568
21,105.49803594233087
22,109.62080023393331
22,104.07923538435215
23,108.28812654644567
23,102.86824127277049
24,107.6523302255096
24,102.41714415405595
25,106.01369986933412
25,101.35593634964626
26,105.00496303527483
26,100.58877955145037
27,104.71405792172847
27,99.64311605853386
28,103.71110296044701
28,99.73635746612095
29,103.06471372239207
29,98.64271220532632
30,102.78765736765575
30,98.41254599306362
31,102.2706146657275
31,97.90922513677519
32,101.45745463880303
32,97.64636941617675
33,101.48607611830302
33,96.69791260693913
34,100.3094345827635
34,96.48726353206193
35,100.53913083730156
35,95.97349372191783
36,99.51707400141953
36,95.51114113693681
37,99.04724014673543
37,95.24117813027115
38,99.16040027155658
38,94.41508760704295
39,98.56694198407189
39,94.30844045620073
40,98.3485535466339
40,94.3932798856129
41,97.92962937526437
41,93.41291479200612
42,96.51809659529562
42,91.55903516469091
43,95.52838081695602
43,91.00274955192856
44,95.45950858450054
44,90.82491561960381
45,95.08813798344022
45,90.44370400944071
46,94.69263179103339
46,90.62940958611891
47,94.44095369610297
47,89.73648678323222
48,94.15012475581344
48,90.40201506515778
49,94.73949455172146
49,89.75850435218433
50,94.40373093778464
50,90.16151891256482
